	X09_11_N_N_0	X09_13_N_N_0	X09_24_N_N_0	X09_8_N_N_0	X10_11_N_N_0	X10_13_N_N_0	X10_24_N_N_0	X10_8_N_N_0	X11_11_N_N_0	X11_13_N_N_0	X11_24_N_N_0	X11_8_N_N_0	X12_11_N_N_0	X12_13_N_N_0	X12_24_N_N_0	X12_8_N_N_0	X13_11_N_N_0	X13_13_N_N_0	X13_24_N_N_0	X13_8_N_N_0	X14_11_N_N_0	X14_13_N_N_0	X14_24_N_N_0	X14_8_N_N_0
Zotu8231	1	1	0	0	1	0	0	3	1	0	2	1	0	0	0	0	2	0	2	0	0	0	0	0
Zotu7946	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	0	0	0	0	0	1	0	0
Zotu4105	1	0	2	1	0	0	1	1	2	0	2	1	0	9	7	0	1	1	0	0	0	1	1	0
Zotu12813	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
Zotu12206	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zotu4820	2	4	1	2	0	4	4	0	0	0	1	0	0	0	2	0	1	1	2	2	0	0	0	0
Zotu13616	2	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	2	0	0	0	0	0	0
Zotu8773	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	1	0	2
Zotu5298	1	1	0	3	0	2	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0
Zotu14742	1	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Zotu6252	0	5	0	2	0	3	0	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	1	0
Zotu4962	0	3	0	1	5	2	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	0
Zotu1968	3	0	0	3	0	1	2	0	1	2	1	2	1	3	4	1	0	2	2	0	0	0	11	1
Zotu14973	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu15679	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zotu13686	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2720	1	2	4	1	2	5	0	3	2	4	1	0	1	2	0	0	2	2	1	2	0	0	1	0
Zotu15129	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu8233	1	1	0	0	1	1	1	1	1	0	0	0	1	0	0	1	4	2	0	5	2	1	0	1
Zotu17115	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	2	0	1
Zotu7677	1	0	0	1	0	1	0	0	0	1	0	0	4	1	1	0	1	0	0	1	0	0	0	0
Zotu8315	1	1	0	0	0	0	0	0	0	0	1	4	0	0	9	1	0	1	0	0	0	11	0	0
Zotu7876	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0
Zotu17033	1	0	0	0	1	1	0	0	1	2	1	3	0	0	1	0	0	0	2	2	0	0	2	1
Zotu12509	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Zotu14691	1	1	0	0	0	1	0	0	2	0	0	1	0	3	0	3	0	1	0	0	0	0	0	0
Zotu4938	1	1	0	1	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	2	3
Zotu13288	2	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0
Zotu3729	0	1	0	0	2	0	3	0	1	0	1	0	1	0	0	0	0	0	2	1	3	1	0	3
Zotu9431	1	2	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1
Zotu9301	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Zotu7999	0	0	0	1	0	0	1	2	1	0	0	1	0	0	0	0	0	0	1	0	4	0	0	0
Zotu11096	0	2	0	2	1	0	0	0	0	1	0	0	0	4	4	0	0	0	0	0	0	1	0	0
Zotu1741	1	4	1	2	3	1	1	3	1	4	7	6	1	8	2	2	3	2	2	5	1	2	2	2
Zotu15603	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5428	1	1	0	2	1	1	0	1	0	0	0	1	0	0	0	0	1	1	2	0	1	0	0	0
Zotu3576	1	0	2	2	0	0	0	0	2	0	2	2	0	0	0	1	3	1	0	2	1	0	0	0
Zotu1255	1	1	0	3	2	0	0	2	1	0	2	5	10	0	1	1	2	0	2	3	0	1	3	16
Zotu15818	1	0	0	0	2	1	2	0	1	1	0	0	0	2	0	0	2	1	2	2	0	1	3	0
Zotu11527	0	0	0	3	0	1	1	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0
