	X09_11_N_N_0	X09_13_N_N_0	X09_24_N_N_0	X09_8_N_N_0	X10_11_N_N_0	X10_13_N_N_0	X10_24_N_N_0	X10_8_N_N_0	X11_11_N_N_0	X11_13_N_N_0	X11_24_N_N_0	X11_8_N_N_0	X12_11_N_N_0	X12_13_N_N_0	X12_24_N_N_0	X12_8_N_N_0	X13_11_N_N_0	X13_13_N_N_0	X13_24_N_N_0	X13_8_N_N_0	X14_11_N_N_0	X14_13_N_N_0	X14_24_N_N_0	X14_8_N_N_0
Zotu1412	2	3	1	2	2	0	1	4	4	1	9	2	3	2	5	3	1	2	3	0	0	0	0	2
Zotu18525	6	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu3155	7	2	2	0	2	1	1	3	2	0	1	0	0	0	0	4	1	1	1	0	0	2	1	0
Zotu8742	2	2	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu8649	2	1	1	2	3	3	3	0	1	1	0	1	1	1	0	0	3	3	3	1	1	2	3	1
Zotu12642	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu9859	0	0	0	1	1	0	1	0	0	1	0	2	1	3	0	0	3	0	0	2	0	0	0	0
Zotu8447	3	0	0	0	0	3	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0
Zotu1283	4	2	0	7	1	1	0	0	0	0	3	0	4	0	13	0	1	1	0	2	9	0	7	3
Zotu10230	1	0	2	2	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1
Zotu15063	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
Zotu15913	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Zotu6101	1	2	2	2	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2
Zotu3592	1	2	0	4	0	0	2	0	1	0	4	2	0	0	0	0	1	2	0	1	0	0	2	1
Zotu14148	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Zotu2124	7	2	3	8	3	0	1	1	2	3	0	4	1	2	5	2	1	2	4	0	0	3	0	0
Zotu1576	1	0	0	2	0	2	2	3	0	0	0	0	0	0	0	1	0	1	1	1	3	0	6	5
Zotu553	3	5	15	4	4	3	2	0	5	9	30	3	5	9	8	18	15	1	15	2	1	5	1	4
Zotu105	11	13	7	26	15	25	5	34	30	5	10	22	43	9	19	35	27	37	23	67	39	14	49	52
Zotu5065	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	2	4
Zotu1153	8	2	1	3	3	8	1	4	3	0	0	0	4	3	0	3	6	7	9	10	9	5	1	9
Zotu2948	2	1	1	0	0	2	2	1	3	2	1	0	1	1	4	1	0	0	0	0	0	0	0	0
Zotu4749	1	4	1	1	0	2	0	1	0	0	0	1	0	0	0	1	0	0	1	2	0	0	2	0
Zotu9454	2	9	1	1	4	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Zotu5440	1	2	1	2	1	1	0	2	0	0	0	1	0	1	0	2	1	1	0	2	0	0	0	1
Zotu3119	2	2	2	0	2	0	3	0	0	0	3	0	0	1	0	2	0	1	0	3	3	1	3	1
Zotu13377	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Zotu1828	2	0	4	1	4	2	1	1	3	2	2	5	6	5	1	8	7	3	1	4	2	1	3	2
Zotu4152	1	3	0	0	0	0	0	0	5	34	2	0	1	1	1	0	1	1	1	0	0	0	0	0
Zotu16920	2	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Zotu9978	1	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Zotu1380	6	2	1	0	3	1	3	2	6	2	7	4	12	2	1	2	7	3	10	1	0	6	0	2
Zotu3977	3	1	2	9	0	0	2	0	0	0	15	0	1	2	0	1	0	0	2	0	0	0	0	0
Zotu16897	2	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0
Zotu16614	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0
Zotu3610	2	1	3	2	1	1	2	1	1	0	0	2	9	2	7	4	10	2	0	6	5	1	6	18
Zotu9162	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Zotu15384	1	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu744	2	3	1	2	8	4	3	3	5	3	1	3	1	0	2	3	6	5	4	4	4	6	55	9
Zotu10879	5	0	1	0	2	1	1	4	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0
Zotu320	13	6	5	1	1	1	6	5	0	3	4	5	3	1	192	5	3	3	3	6	1	3	1	0
Zotu9332	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0
Zotu18311	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu14285	3	0	1	0	0	2	0	0	0	0	1	0	1	1	0	1	1	1	0	1	0	0	0	0
Zotu3256	3	5	2	2	4	4	2	4	2	2	0	1	1	0	0	5	1	1	5	0	0	6	0	0
Zotu1718	0	3	4	2	5	0	3	2	8	1	4	5	1	4	5	13	10	8	1	4	1	3	1	2
Zotu107	19	8	1	32	29	12	23	7	12	0	0	1	21	0	21	6	64	11	5	10	74	9	162	39
Zotu601	6	6	1	5	9	13	13	3	0	0	0	0	3	0	3	1	9	2	4	4	32	7	26	23
Zotu18081	4	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	2	0	1
Zotu2978	8	16	3	0	2	1	0	2	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	1
Zotu1645	2	3	0	6	1	4	1	6	0	0	0	0	2	0	0	0	2	4	0	23	1	9	0	1
Zotu1630	2	3	2	3	8	5	1	3	5	4	9	0	3	0	1	4	7	0	5	7	5	4	0	5
Zotu15532	5	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Zotu2060	2	5	2	3	3	4	4	2	3	2	3	2	2	4	6	1	1	0	4	0	0	2	1	2
Zotu9449	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Zotu12064	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Zotu5236	8	3	1	0	4	2	2	1	1	0	0	0	0	0	0	0	3	6	0	0	5	1	0	1
Zotu4228	1	1	4	5	4	2	4	0	0	2	4	0	0	1	0	1	0	1	0	0	0	1	1	0
Zotu9771	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	4	0	0
Zotu12179	1	0	1	2	0	0	0	0	0	0	0	0	2	0	1	1	0	1	0	0	0	0	0	0
Zotu2844	0	1	2	1	2	3	0	0	1	3	7	4	0	4	0	0	1	3	3	1	0	2	0	0
Zotu14041	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2894	3	0	0	1	1	0	7	2	0	7	0	1	2	1	19	3	1	0	1	0	0	3	0	0
Zotu2212	5	2	0	4	2	3	0	1	1	2	0	4	2	0	0	1	6	2	5	1	3	5	1	5
Zotu4630	0	4	0	2	0	1	1	1	2	0	0	2	1	0	4	6	0	0	3	1	1	0	0	0
Zotu6533	0	1	0	3	2	0	0	0	0	3	2	1	0	2	4	1	0	0	0	1	0	0	0	0
Zotu1297	4	8	0	1	7	5	1	2	5	4	6	0	4	7	2	6	8	2	3	7	0	1	0	0
Zotu9061	5	0	1	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	1	0	0	4	0	0
Zotu13470	4	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1
Zotu10433	1	0	0	1	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0
Zotu1689	4	3	4	4	2	1	2	2	0	2	0	1	5	0	7	3	4	0	2	6	1	5	1	2
Zotu18504	3	0	1	3	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Zotu2980	0	4	0	1	0	0	1	2	2	0	1	2	0	0	1	0	2	0	0	0	0	0	0	0
Zotu11556	0	1	0	1	0	2	1	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Zotu16947	0	0	3	1	1	0	2	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0
Zotu2496	1	4	5	0	8	0	2	3	1	7	1	2	1	4	1	3	0	1	2	0	1	0	2	0
Zotu15426	1	5	2	0	2	1	0	1	0	0	0	0	0	2	0	0	1	1	3	1	0	0	0	0
Zotu17649	9	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu13908	1	0	2	1	1	1	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0
Zotu4484	0	2	0	0	2	3	1	4	2	0	0	10	1	0	0	1	2	0	0	1	1	0	1	1
Zotu5448	0	0	1	1	0	0	0	3	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0
Zotu17277	1	2	0	1	3	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4855	1	1	1	0	2	0	0	1	1	0	2	2	0	1	1	1	0	0	0	0	0	1	0	1
Zotu2164	4	3	1	2	1	1	1	1	3	2	1	4	0	2	0	3	1	0	1	3	2	0	1	0
Zotu15499	1	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1
Zotu17090	13	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu12487	2	2	0	0	0	1	0	3	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0
Zotu10504	1	1	3	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Zotu1190	1	0	2	0	2	1	1	1	8	0	3	7	6	1	29	1	0	2	8	9	1	0	0	2
Zotu3730	4	3	2	3	1	0	0	3	0	0	0	0	0	0	0	2	1	0	6	1	0	0	0	0
Zotu6440	1	0	0	0	0	1	1	1	1	0	2	0	0	1	0	0	0	0	1	2	0	0	1	1
Zotu10399	1	1	3	0	3	1	1	0	0	1	0	0	0	0	0	0	1	4	0	0	1	0	0	0
Zotu6443	0	1	0	1	0	1	0	5	0	0	6	1	0	1	0	0	0	0	0	1	0	0	0	1
Zotu6569	3	0	0	0	6	1	1	2	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0
Zotu2898	1	0	0	8	2	2	0	0	0	0	0	0	1	0	0	0	3	0	7	0	15	0	8	2
Zotu6773	2	3	0	0	1	1	0	0	3	1	2	1	0	1	0	2	0	0	1	1	0	0	0	2
Zotu2870	0	0	2	4	4	1	1	1	0	4	11	4	3	6	2	8	1	2	2	4	0	0	0	2
Zotu9147	2	2	1	0	0	2	0	0	2	2	0	1	0	2	0	0	1	5	0	2	0	0	2	0
Zotu15967	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0
Zotu11853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
Zotu1616	2	0	2	4	3	2	0	2	3	2	0	8	4	1	2	2	3	3	2	4	1	5	0	1
Zotu7535	2	0	0	1	1	0	2	1	0	1	0	0	0	1	0	0	1	1	0	1	0	0	0	0
Zotu3501	2	0	0	2	0	2	4	0	1	2	0	1	2	3	7	1	2	0	1	2	0	0	0	0
Zotu3187	1	0	1	0	0	4	0	3	24	12	0	0	3	7	0	0	7	1	0	0	0	2	0	4
Zotu16636	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0
Zotu267	9	5	17	2	12	3	33	25	21	15	51	56	13	31	14	63	23	37	26	5	0	12	0	4
Zotu3020	5	6	6	4	3	1	5	1	0	1	0	2	0	2	3	0	0	0	1	0	0	5	0	0
Zotu4899	6	2	6	0	2	2	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
Zotu15410	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0
Zotu14721	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Zotu5978	1	1	1	3	0	0	0	2	1	0	0	0	1	0	0	0	0	3	0	0	0	1	0	0
Zotu2892	1	1	1	2	2	2	0	3	1	0	0	0	0	2	1	1	0	0	1	0	2	0	4	2
Zotu2366	1	3	1	3	0	0	1	1	2	3	7	4	1	1	0	3	0	0	1	2	0	2	2	0
Zotu1166	3	5	2	5	1	2	16	7	2	7	2	5	3	7	12	3	3	2	1	2	0	0	0	4
Zotu1000	1	1	4	11	5	2	1	5	2	0	0	7	9	0	0	7	3	6	4	4	2	2	3	8
Zotu7567	2	4	7	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu12822	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1
Zotu353	6	13	15	23	19	12	47	13	6	16	5	9	5	8	12	5	6	15	7	16	13	6	32	8
Zotu5902	1	0	3	0	2	1	2	0	1	0	2	0	0	1	0	0	1	1	1	0	2	1	1	4
Zotu1550	2	0	0	1	2	2	0	1	1	0	0	3	6	4	3	6	5	2	5	4	4	2	5	3
Zotu4328	1	0	1	3	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	2	2	0	1
Zotu15536	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2788	4	1	2	0	0	0	1	2	2	13	3	3	0	4	1	0	0	2	0	0	0	0	0	0
Zotu1665	1	5	4	5	0	7	2	1	1	3	2	0	0	0	0	1	1	1	4	3	5	4	0	2
Zotu11570	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Zotu2134	2	2	1	6	1	0	7	5	1	4	5	2	1	6	1	1	1	2	4	1	0	1	1	1
Zotu5349	5	0	0	1	1	2	0	1	0	0	1	1	2	2	0	1	0	3	0	0	0	0	0	0
Zotu2466	3	2	1	1	3	1	1	4	2	1	2	4	1	3	2	4	1	1	5	3	1	2	1	2
Zotu578	18	12	5	5	10	19	5	9	4	1	3	1	13	3	8	4	7	12	6	3	17	6	13	2
Zotu10801	1	3	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu8948	1	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	3	0	0	0	0	0
Zotu394	3	4	3	2	7	4	2	6	8	2	1	20	13	7	4	4	7	18	6	3	13	2	8	9
Zotu3124	2	1	0	2	2	4	0	0	0	1	0	0	1	0	1	0	2	0	0	2	2	2	1	2
Zotu4317	0	0	2	1	0	0	0	0	2	0	3	1	0	0	1	0	0	0	0	2	1	0	0	0
Zotu227	5	6	6	13	8	2	9	7	57	6	36	37	14	8	24	11	9	5	6	6	17	1	4	21
Zotu6220	1	2	0	1	0	1	0	0	1	0	1	1	5	0	0	1	0	1	0	0	0	0	0	0
Zotu1264	4	2	4	1	4	2	4	2	3	0	0	1	4	1	2	2	5	4	1	3	5	4	15	5
Zotu8747	2	2	0	0	1	1	0	3	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	3
Zotu17845	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Zotu3420	4	2	2	4	1	4	0	1	1	5	2	2	1	2	1	0	0	3	1	0	1	1	1	0
Zotu1157	2	2	1	5	1	2	3	1	0	0	1	1	2	0	5	0	8	0	10	4	24	2	12	5
Zotu7203	1	0	0	0	0	0	3	1	1	2	0	1	0	4	1	0	0	0	0	0	0	1	0	0
Zotu1740	5	6	0	2	1	3	4	2	4	1	1	3	5	1	2	1	6	1	0	5	4	2	5	1
Zotu7479	0	0	2	1	1	0	2	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0
Zotu5964	2	2	1	2	1	0	2	0	0	0	0	1	0	1	1	0	3	1	0	1	0	1	0	0
Zotu11288	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu11334	5	2	2	1	1	1	1	0	1	0	0	1	0	0	3	0	1	4	5	2	0	0	0	0
Zotu2981	1	1	1	0	5	2	1	2	0	0	0	3	3	2	1	0	14	0	1	2	1	2	2	0
Zotu1969	3	4	0	4	1	2	1	1	0	0	0	2	2	0	0	2	1	2	0	7	3	1	4	3
Zotu1926	3	7	2	3	3	2	7	8	1	3	3	1	3	2	0	2	0	0	4	0	0	2	0	0
Zotu1622	2	3	2	3	2	7	1	1	8	19	1	1	3	3	4	3	0	13	3	1	0	4	0	2
Zotu10268	3	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu17122	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu12976	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1
Zotu14174	1	0	0	0	0	2	0	0	0	0	1	0	1	1	3	0	0	0	5	0	0	0	0	0
Zotu10598	2	1	5	1	0	0	0	0	0	0	0	0	4	1	2	0	0	1	0	0	1	4	0	0
Zotu11589	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0
Zotu4866	1	0	1	1	1	0	1	1	0	2	1	1	0	4	1	1	1	1	0	0	0	3	0	0
Zotu12161	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	2	0
Zotu6128	4	6	2	1	1	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
Zotu16025	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0
Zotu4324	0	1	0	3	0	1	0	0	2	0	0	1	3	0	0	0	0	5	1	0	0	1	0	1
Zotu13799	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0
Zotu8504	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0
Zotu10427	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu548	7	8	19	5	9	2	18	6	4	3	4	2	5	6	6	14	11	15	14	5	5	17	1	8
Zotu12149	1	1	0	0	0	0	0	0	0	1	2	0	0	0	1	1	0	0	0	0	0	1	0	0
Zotu13949	1	0	8	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0
Zotu11360	2	0	2	1	0	0	3	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0
Zotu4119	2	0	0	2	0	4	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	2	2	3
Zotu7253	2	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	3	0	0	0	0	0
Zotu4407	2	2	1	1	0	1	0	2	0	1	1	2	0	1	0	3	1	2	1	0	0	0	0	0
Zotu4003	4	3	1	1	3	2	1	0	3	4	2	2	2	3	2	1	0	0	3	0	0	4	1	1
Zotu13570	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	1	3	0	2	0
Zotu16547	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0
Zotu14102	1	0	1	0	0	0	1	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Zotu4549	2	0	1	1	0	2	0	1	0	0	0	3	0	1	0	1	0	0	3	0	0	0	0	0
Zotu612	3	9	10	4	3	2	23	8	9	9	10	5	10	33	51	5	1	6	1	4	0	8	2	4
Zotu1693	4	3	4	9	0	7	16	2	5	0	1	1	2	10	10	4	0	0	0	2	0	5	0	0
Zotu17131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
Zotu4973	2	2	1	0	1	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5281	1	0	3	1	0	1	6	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Zotu11695	2	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Zotu1745	3	0	1	4	7	2	7	4	9	0	1	1	1	1	2	0	0	1	1	1	7	2	3	4
Zotu4069	1	1	1	1	2	2	0	0	0	0	0	0	0	0	0	1	2	4	0	0	1	4	0	1
Zotu4388	3	0	1	0	0	0	0	0	0	0	0	0	7	0	12	0	1	0	1	1	0	0	0	0
Zotu6812	3	0	0	2	1	1	1	1	0	0	0	0	17	0	0	0	0	1	0	0	0	1	0	0
Zotu15419	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu6572	1	0	0	2	0	2	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	3	0	3
Zotu3478	2	0	0	1	1	1	1	1	0	0	0	1	1	2	3	0	2	1	2	1	2	0	1	0
Zotu564	2	4	4	1	8	4	7	7	2	2	0	2	4	3	3	6	4	9	4	5	27	6	16	20
Zotu1217	5	8	6	4	6	5	5	3	5	3	1	4	4	0	3	1	5	9	8	3	3	6	2	4
Zotu13261	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu8694	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu1653	1	1	2	3	1	4	6	0	4	5	1	4	2	8	8	6	2	3	3	4	0	1	0	0
Zotu5547	4	4	0	2	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	2	3	1	0	1
Zotu8955	3	2	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu12227	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0
Zotu281	6	3	18	15	0	4	13	5	111	35	58	38	20	31	41	2	8	4	0	1	2	22	1	4
Zotu14605	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Zotu3397	1	3	0	0	2	0	3	1	1	0	3	0	0	0	0	2	5	1	3	0	0	2	1	1
Zotu4008	1	1	1	2	2	0	3	0	0	1	0	1	1	0	0	1	0	2	0	1	0	0	0	0
Zotu10796	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11102	1	1	5	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0
Zotu4240	2	7	5	0	1	0	1	2	0	0	0	0	1	0	0	1	0	0	3	0	0	2	0	3
Zotu11499	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
Zotu10001	1	1	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1	2	0	2	0	0	0
Zotu449	3	7	16	8	10	13	8	9	21	8	9	15	10	11	0	3	5	17	14	4	3	2	2	9
Zotu14108	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Zotu16740	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu10046	1	0	0	0	1	0	3	0	0	1	0	0	0	0	5	0	1	1	0	0	1	2	0	0
Zotu3938	1	1	2	1	0	0	0	0	1	0	4	7	0	5	0	1	2	1	0	0	0	0	0	0
Zotu4594	2	0	0	0	0	0	0	1	0	0	0	0	3	0	0	2	0	0	1	2	3	0	0	2
Zotu3901	3	0	2	0	0	1	1	0	1	0	0	0	4	0	0	0	2	3	1	6	0	2	0	0
Zotu11317	0	2	0	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Zotu8818	0	1	4	2	0	0	2	0	1	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Zotu13946	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu7650	1	0	2	0	1	0	6	0	0	2	1	2	0	1	0	1	0	0	1	0	0	0	0	0
Zotu14168	4	0	0	0	9	2	4	0	1	0	0	0	2	0	0	6	3	0	0	2	0	0	0	1
Zotu6249	2	0	0	0	2	0	11	1	0	0	1	0	1	0	0	0	0	2	1	0	0	3	0	0
Zotu1024	2	1	1	3	0	0	1	1	0	1	0	0	20	8	80	1	3	5	0	0	1	3	0	0
Zotu943	4	16	10	12	5	1	16	4	2	8	7	2	1	5	6	0	0	11	1	1	0	4	0	0
Zotu5810	2	3	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	1
Zotu231	3	3	5	14	5	3	10	9	25	24	18	36	60	46	66	10	26	2	7	11	1	3	1	33
Zotu6947	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Zotu885	3	9	5	10	12	3	6	5	9	6	1	2	9	2	2	1	5	4	8	7	5	8	2	6
Zotu17991	1	0	0	0	0	0	1	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0
Zotu4620	4	1	1	0	0	0	0	0	1	0	3	0	0	0	0	0	2	2	1	0	0	0	0	0
Zotu4303	2	4	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	6	0	0	1	1	0	0
Zotu16958	1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	2	0	1	0	1	0	0	0	0
Zotu2285	6	8	1	8	7	4	2	5	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	0
Zotu12845	2	0	3	1	1	0	4	1	0	1	0	1	0	3	3	0	1	1	2	1	0	1	0	0
Zotu3765	1	0	1	1	0	2	4	2	0	0	0	1	0	1	0	0	3	1	3	1	3	1	1	0
Zotu2383	1	9	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	2	2	0	0	0	0	1
Zotu2384	1	0	4	1	1	0	0	4	0	1	2	4	3	2	0	3	1	1	4	3	3	0	6	1
Zotu15854	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Zotu10668	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu13846	1	1	1	0	1	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu9289	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	2	1	0	1
Zotu5559	1	2	1	0	1	0	2	0	0	1	0	1	0	3	0	0	2	1	3	3	1	0	0	1
Zotu2190	7	1	0	2	1	2	1	2	1	0	1	2	2	1	0	3	0	2	3	3	1	2	2	1
Zotu2149	4	2	2	0	4	6	1	6	1	0	0	0	4	0	0	1	6	3	0	4	1	4	3	9
Zotu1371	6	5	3	7	11	7	3	4	6	4	1	4	5	3	1	7	6	6	4	6	2	15	0	2
Zotu5917	2	0	0	1	2	1	0	1	0	0	0	0	0	0	1	0	4	0	0	1	3	0	0	0
Zotu6248	2	0	2	0	0	0	2	5	2	0	0	0	0	2	0	0	0	3	1	0	0	1	4	0
Zotu1819	2	1	0	3	6	0	0	5	2	0	0	3	5	0	0	5	1	2	1	0	8	0	7	3
Zotu17523	1	0	0	0	0	2	0	0	0	0	0	3	0	0	0	2	0	0	0	1	0	0	0	0
Zotu1903	2	7	2	6	2	4	5	4	1	1	4	7	2	1	0	7	1	2	3	4	0	1	2	2
Zotu1455	5	0	7	3	0	4	3	3	1	0	0	0	4	13	19	0	1	5	0	6	0	5	0	0
Zotu4692	1	0	0	0	1	0	0	1	0	0	1	0	0	1	2	0	0	1	0	0	1	0	1	5
