Sample_name,Acidobacteria,Actinobacteria,Bacteroidetes,Chlamydiae,Chloroflexi,Firmicutes,Gemmatimonadetes,Nitrospirae,Planctomycetes,Alphaproteobacteria,Betaproteobacteria,Deltaproteobacteria,Gammaproteobacteria,Verrucomicrobia,Ascomycota,Basidiomycota,Mortierellomycota,Arbuscular Mycorrhizal,Pathotroph,Saprotroph,Symbiotroph,Apicomplexa,Cercozoa,Ciliophora,Conosa,Lobosa,Ochrophyta,Consumer,Parasite,Phototroph
X12_24_N_N_0,36.91367,60.57855,44.25248,6.34516,51.17064,18.63378,20.65001,1.49785,45.80759,66.34877,13.14585,45.57484,26.24327,18.19026,78.79158,22.99698,0.91791,2.76293,28.4223,47.93021,10.56689,1.799172875,9.905420409,7.948063519,5.016344403,6.307665332,0.871849587,32.5452047,2.992821822,1.791886177
X12_3_N_N_1,43.17641,55.80269,36.40382,9.4586,54.00526,21.13261,23.73564,1.5855,54.36937,54.90266,10.90133,47.56871,25.39742,19.25613,81.95593,26.55439,1.17074,4.22725,23.93577,43.32917,8.45686,1.800357721,16.04607641,5.366399577,3.6679554,6.804655643,1.549349028,42.0847817,3.959874896,3.473023432
X12_6_N_N_1,35.70288,57.48952,45.12166,5.10354,52.60123,22.41667,21.69341,1.36826,47.29921,65.55436,11.44179,42.49557,18.31492,17.14498,58.44604,14.35428,0.53508,3.91836,15.48924,39.34479,6.17403,1.545858489,13.1311135,6.798337302,3.737341965,4.545441832,1.190591775,32.66423607,3.998611709,2.590004711
X12_8_N_N_0,40.22951,62.97821,35.7719,6.50417,54.26799,17.2527,23.31622,1.64009,46.3035,56.47448,11.077,41.36793,18.07916,16.44513,67.00664,24.60266,4.37929,4.45332,19.74399,45.11548,7.67302,1.725060195,14.49762158,4.97067145,3.264552834,7.450519853,1.185857861,41.05216316,3.82136136,2.546217843
X13_11_N_N_0,46.96952,63.26098,46.54817,7.91771,55.09323,24.52744,22.2225,3.43957,58.06545,61.53066,15.8026,50.09605,29.1712,26.01427,76.2237,22.97995,5.87903,4.00263,23.49628,47.86812,10.05642,2.494798638,14.96051176,8.552306389,2.538588545,6.213432382,2.338159966,39.96979502,4.527527569,3.963004435
X13_13_N_N_0,47.2788,58.2323,44.56082,9.63615,58.97153,30.44246,20.85707,3.35923,60.98864,60.75765,13.81909,49.68657,26.68811,25.32232,82.86849,28.8437,4.39297,9.9566,18.10592,48.04244,15.44676,2.426356652,17.25350281,8.074318517,4.215090126,8.150803342,1.594494873,46.05187935,5.029343233,3.416681497
X13_19_N_N_1,47.66215,57.66806,37.76086,9.30044,60.91159,21.49766,20.02371,1.7617,63.4085,55.253,13.40895,45.0821,30.23691,23.59709,76.32116,25.18094,4.82672,11.48281,21.32338,43.35119,14.8526,2.452464453,16.93129267,7.457029259,4.656168534,6.366822276,1.935146023,42.29336637,4.166613318,2.956505397
X13_23_N_N_1,46.31246,63.05131,48.43616,7.63561,57.63806,20.1386,23.6256,1.53297,62.57392,67.62004,13.69903,45.63936,30.99173,24.55082,67.34231,17.61331,0.60849,6.0911,17.12025,35.2253,12.33763,2.7246568,11.74763382,8.052882458,3.352983901,9.437652733,1.873104114,36.73946452,4.900138025,3.067878529
X13_24_N_N_0,47.01211,56.26897,37.91788,6.54795,58.75906,20.42365,20.46164,1.67153,65.03559,59.31896,14.7858,47.11928,22.93339,22.42811,80.75908,26.38444,0.9299,12.38615,17.87477,49.03482,16.90661,2.409097865,14.89940012,4.977838716,6.71127788,9.689633785,1.687022704,42.74954857,4.519008569,2.886514522
X13_3_N_N_1,46.48095,60.03509,43.94612,7.41684,55.28312,22.71251,21.34344,1.35959,59.70373,59.80425,14.21079,47.43855,26.79147,21.91427,85.32211,33.25525,4.70111,5.46611,25.76181,47.11444,10.9291,1.98555303,14.84829475,7.160912516,3.995249901,5.573209704,1.583692707,36.97229938,4.345633969,2.752871799
X13_6_N_N_1,37.81766,50.12015,35.01199,4.78459,53.75776,26.02513,20.81156,0.88607,53.05969,52.17602,12.47171,39.99325,22.32363,18.46362,82.70986,26.61645,4.44373,4.7582,22.33935,43.1975,11.1221,2.656016109,15.21408421,6.099075122,1.755116305,5.352996893,1.141743628,38.18844784,4.615000228,2.412474457
X13_8_N_N_0,43.13235,60.601,41.25888,9.87509,54.79043,23.29537,21.44647,1.49544,55.45907,51.55548,10.5272,49.41134,24.37906,21.54234,84.38191,26.36107,1.12655,7.07834,20.66753,54.03381,13.0464,3.26059597,16.19257164,8.01891714,3.714694555,8.581109718,1.405016099,44.03151681,6.101663566,2.78060828
X14_11_N_N_0,40.74142,53.29599,24.34387,9.8053,56.66642,20.28132,15.0891,1.52513,50.93918,43.71488,11.36525,43.68001,28.7939,17.84951,75.07041,28.41243,5.92515,10.35444,16.8738,45.9409,15.08262,1.109487511,14.34685341,4.346554235,4.614948642,5.891861961,1.42662753,35.44239206,2.726661215,2.937128721
X14_13_N_N_0,43.80392,61.33054,40.74226,9.64176,51.09269,24.4975,19.8711,1.77905,57.64414,55.38569,11.60732,46.57284,23.20181,20.20249,69.79541,13.35398,0.59709,5.67991,18.77428,36.17009,9.19958,1.517993321,13.70708638,6.885840082,6.677972641,6.748247755,1.124654215,36.64973067,4.2117259,2.288786875
X14_19_N_N_1,40.09166,57.95645,28.18307,8.103,49.03656,19.73933,20.27161,3.11731,51.82603,58.45713,11.302,40.56867,25.8356,16.42778,87.23574,22.32036,0.84303,7.74416,21.7027,45.09822,13.73883,3.504976703,15.28431322,5.671377662,4.438053881,7.305292714,1.376799307,40.86192777,5.015473878,2.40901007
X14_23_N_N_1,45.52341,58.4755,29.98877,10.00503,51.0376,21.33826,18.42468,1.77054,54.74465,54.58057,13.66766,45.32497,27.63911,21.57465,81.90734,22.30405,1.03133,3.89188,17.83319,46.92158,9.18924,1.920629512,15.42461384,5.127767997,2.830097872,8.599945992,2.042289107,41.66783178,3.725766221,2.987448401
X14_24_N_N_0,37.03055,49.12601,24.87459,8.07658,53.21619,23.11053,15.26824,3.30661,48.58716,41.31255,9.16145,39.85593,15.84855,18.99123,64.3709,17.2628,4.39028,7.12037,16.33232,28.42479,11.68251,NA,10.57403777,3.46587809,7.200253392,7.899500471,1.007291022,36.47960579,2.217246761,2.214225888
X14_3_N_N_1,45.76507,55.69223,27.87072,12.07469,56.59896,26.17911,18.56116,1.55944,53.51307,46.58648,10.62816,47.13405,28.42091,20.32452,80.13406,19.89836,1.48739,5.19369,22.58558,38.18502,10.37694,1.915612811,14.64496125,4.416607005,5.748888953,7.454750324,1.285123802,43.34656893,4.054920502,2.656811371
X14_6_N_N_1,46.43045,56.06843,37.204,10.14277,57.51393,23.36599,24.48921,1.8349,56.77496,53.11359,11.99876,44.24014,22.19706,20.32673,64.9984,19.99038,4.39794,3.95611,16.52291,39.32201,8.41862,0.966897536,16.89645167,4.645610248,3.551975618,5.578741741,1.347634459,36.34463295,3.018584163,2.3916566
X14_8_N_N_0,40.68717,58.57985,34.09579,9.76735,56.98756,22.15459,19.33541,1.64764,55.52887,56.94655,12.68722,39.22363,22.10628,19.53457,53.09555,15.51691,1.04268,4.61654,17.48246,32.72273,8.47425,3.387614902,14.36642884,4.478168075,4.811478817,7.224990791,1.296201973,39.30691194,5.734901352,2.556013714
