Sample_name,Acidobacteria,Actinobacteria,Bacteroidetes,Chlamydiae,Chloroflexi,Firmicutes,Gemmatimonadetes,Nitrospirae,Planctomycetes,Alphaproteobacteria,Betaproteobacteriales,Deltaproteobacteria,Gammaproteobacteria,Verrucomicrobia,Ascomycota,Basidiomycota,Mortierellomycota,Arbuscular Mycorrhizal,Pathotroph,Saprotroph,Symbiotroph,Apicomplexa,Cercozoa,Ciliophora,Conosa,Lobosa,Ochrophyta,Consumer,Parasites,Phototroph
X10_19_N_N_1,14.57849144,16.57158955,7.387844214,1.045848299,3.126980773,4.278470315,2.570603564,0.732445947,2.996689908,18.5717304,4.922881893,6.155363054,4.324248187,10.35636312,79.88394584,3.172147002,0.290135397,0.348162476,6.160541586,20.83172147,0.406189555,3.052805281,37.37623762,29.12541254,1.815181518,6.02310231,6.105610561,83.91089109,7.755775578,7.508250825
X10_23_N_N_1,18.11747306,10.57468836,4.767941404,0.704274949,2.21142334,8.539333756,1.725473625,0.54933446,2.774843299,15.98704134,3.722093105,5.919430946,3.236143391,18.71258539,54.56479691,41.30560928,0.764023211,0.570599613,22.05029014,45.63829787,0.599613153,1.072607261,27.39273927,23.18481848,2.062706271,13.69636964,11.05610561,78.96039604,5.280528053,11.22112211
X10_24_N_N_0,11.0289457,23.54391154,6.856116628,0.982463554,2.919219663,4.137615325,2.729065427,0.697232199,2.517782942,21.56489894,4.591872667,5.162335376,5.944080573,5.194027748,93.77176015,4.090909091,0.309477756,0.106382979,2.437137331,12.01160542,0.396518375,4.95049505,27.31023102,35.64356436,3.465346535,14.19141914,4.455445545,85.3960396,7.755775578,5.0330033
X10_3_N_N_1,13.75096838,12.22973449,9.549968308,0.781745193,2.672723431,13.66293401,1.901542362,0.834565814,2.454398197,15.30389464,4.936967392,4.61652229,9.328121698,6.282132545,70.06769826,20.3384913,0.135396518,0.048355899,36.24758221,25.18375242,0.309477756,2.475247525,25.1650165,42.57425743,4.207920792,8.333333333,4.867986799,83.41584158,10.14851485,5.363036304
X10_6_N_N_1,18.70554264,16.28283682,3.950982464,1.345165152,3.299528136,8.204803155,2.82766392,0.75709557,2.732586802,14.98697091,4.472145926,5.155292626,2.803014297,12.12409325,61.52804642,3.839458414,1.789168279,0.125725338,6.65377176,16.54738878,0.203094778,1.815181518,44.8019802,22.68976898,1.732673267,7.920792079,8.168316832,82.09570957,5.528052805,8.910891089
X10_8_N_N_0,18.79709839,17.57870273,5.38066061,0.788787943,2.588210437,11.60997253,2.739629551,0.651454328,2.507218818,13.35305303,4.743291781,4.8242834,2.964997535,9.567575181,59.93230174,20.89941973,0.493230174,0.270793037,17.15667311,30.25145068,0.415860735,4.702970297,39.52145215,31.51815182,1.320132013,5.775577558,8.910891089,81.93069307,7.508250825,9.405940594
X11_11_N_N_0,11.71561378,23.21290232,5.958166068,0.422564969,2.616381435,4.362983309,2.563560814,0.387351222,2.049440101,24.43129798,7.574477076,4.183393197,3.179801394,4.48271005,45.21276596,1.827852998,0.222437137,0.077369439,6.6344294,12.19535783,0.096711799,2.97029703,37.62376238,34.98349835,5.858085809,6.930693069,2.062706271,91.25412541,4.207920792,2.557755776
X11_13_N_N_0,8.553419255,25.63208677,7.863229805,0.271145855,2.186773716,6.341995915,3.088245651,0.313402352,1.531798014,25.68490739,7.134305233,3.183322769,3.475596877,3.711528981,76.13152805,3.955512573,0.135396518,0.145067698,10.64796905,13.5106383,0.241779497,1.567656766,31.43564356,51.48514851,2.557755776,4.207920792,2.227722772,93.56435644,2.640264026,2.310231023
X11_19_N_N_1,12.4093246,27.20966265,2.655116558,0.288752729,2.912176914,7.775195436,2.218466089,0.436650468,3.155151771,21.12120572,3.711528981,4.750334531,2.641031058,7.352630467,79.8065764,8.34622824,2.408123791,1.605415861,4.003868472,24.17794971,1.885880077,2.722772277,26.73267327,45.87458746,3.052805281,4.372937294,5.198019802,84.81848185,6.930693069,5.528052805
X11_23_N_N_1,13.21924079,22.73047398,3.369955631,0.598633707,2.119867596,11.26135643,2.197337841,0.521163462,2.038875977,21.13176984,3.965067963,4.852454398,2.7466723,7.134305233,64.08123791,30.58994197,1.034816248,0.79303675,2.688588008,44.10058027,1.025145068,11.38613861,34.7359736,28.54785479,8.498349835,7.01320132,2.722772277,81.60066007,13.03630363,3.217821782
X11_24_N_N_0,13.14177055,23.08613283,3.570673991,0.137333615,2.4121417,11.13810832,2.803014297,0.264103106,2.165645468,25.19895767,4.55665892,3.204451018,1.890978238,5.451088105,59.88394584,23.79110251,0.145067698,0.193423598,19.34235977,14.29400387,0.232108317,0.99009901,27.14521452,49.669967,2.475247525,3.96039604,5.280528053,88.36633663,2.475247525,6.765676568
X11_3_N_N_1,15.59616874,24.04394676,3.053031904,0.323966477,3.560109867,11.98323826,3.105852525,0.591590957,2.577646313,17.33220649,4.215085569,4.334812311,1.753644623,5.72927671,41.50870406,53.04642166,1.470019342,0.193423598,26.24758221,10.81237911,0.270793037,1.155115512,30.52805281,50.90759076,2.640264026,2.310231023,3.795379538,89.85148515,3.300330033,4.372937294
X11_6_N_N_1,14.08902035,21.68814705,5.010916262,0.496513839,2.774843299,4.8242834,4.021409958,0.640890204,2.109303472,20.18804141,9.940840904,3.968589337,3.017818156,5.310233115,76.51837524,1.615087041,0.145067698,0.058027079,9.274661509,6.286266925,0.058027079,0.742574257,23.43234323,45.54455446,7.178217822,3.465346535,3.96039604,88.44884488,3.795379538,5.610561056
X11_8_N_N_0,14.27213184,23.24811606,2.986125784,0.338051975,2.61990281,8.662581872,2.563560814,0.422564969,2.288893584,22.95584196,5.394746109,4.169307698,2.225508839,6.141277555,75.11605416,5.522243714,0.512572534,0.116054159,11.88588008,12.54352031,0.203094778,1.567656766,29.37293729,35.89108911,4.702970297,7.095709571,5.0330033,85.89108911,4.372937294,5.610561056
X12_11_N_N_0,15.05387703,18.05056694,6.306782168,0.598633707,2.560039439,6.250440172,3.296006761,0.552855835,2.267765336,19.23022748,4.535530671,5.028523135,2.366363829,12.06775125,52.54352031,14.83558994,0.444874275,0.02901354,16.10251451,15.35783366,0.02901354,1.402640264,37.70627063,33.16831683,2.392739274,5.445544554,10.97359736,83.25082508,3.877887789,11.13861386
X12_13_N_N_0,10.50426086,27.02655117,7.222339601,0.320445102,3.042467779,3.996760335,3.105852525,0.331009226,1.954362983,22.28678076,4.782026903,4.465103176,3.86646947,5.753926333,64.44874275,14.65183752,0.164410058,0.135396518,10.48355899,29.00386847,0.241779497,1.485148515,27.80528053,51.89768977,2.475247525,4.04290429,5.445544554,90.2640264,2.557755776,5.940594059
X12_19_N_N_1,18.52947391,14.05028523,2.496654694,0.299316853,2.912176914,8.718923868,2.355799704,0.552855835,2.739629551,15.12430453,2.817099796,4.031974083,1.964927107,21.99450666,65.75435203,9.690522244,2.649903288,0.744680851,2.272727273,22.30174081,0.83172147,2.722772277,27.47524752,36.38613861,2.227722772,6.765676568,13.86138614,79.78547855,4.04290429,14.52145215
X12_23_N_N_1,9.609831678,19.9380238,4.528487922,0.165504613,1.450806395,21.0824706,2.302979083,0.235932108,1.739559124,21.22332559,4.144658075,2.96147616,2.940347911,6.757518135,53.99419729,6.895551257,1.208897485,0,15.2417795,24.41005803,0,0.412541254,27.97029703,33.33333333,1.072607261,3.712871287,8.498349835,68.81188119,20.95709571,8.580858086
X12_24_N_N_0,9.215437707,24.80808508,8.863300232,0.288752729,2.288893584,4.359461934,1.711388126,0.292274104,2.123388971,23.88196352,4.412282555,4.285513064,3.940418339,8.180153532,78.40425532,11.2959381,0.232108317,0.058027079,11.93423598,40.10638298,0.251450677,0.99009901,36.13861386,39.52145215,7.673267327,5.610561056,5.280528053,92.16171617,1.815181518,5.445544554
X12_3_N_N_1,18.82526939,16.53285443,3.105852525,0.55637721,2.996689908,12.31072611,4.021409958,0.753574195,2.905134164,15.1700824,3.17628002,4.817240651,2.042397352,10.89865483,81.78916828,5.531914894,2.137330754,0.125725338,41.93423598,23.34622824,0.183752418,7.755775578,35.64356436,31.18811881,1.402640264,3.465346535,9.323432343,76.89768977,10.14851485,10.31353135
