NetworkIndex,Total.nodes.Bac,Total.links.Bac,avgK.Bac,avgCC.Bac,GD.Bac,Density.Bac,Transitivity.Bac,Con.Bac,Module.number.Greedy.optimization.Bac,Modularity.Greedy.optimization.Bac,Total.nodes.Fun,Total.links.Fun,avgK.Fun,avgCC.Fun,GD.Fun,Density.Fun,Transitivity.Fun,Con.Fun,Module.number.Greedy.optimization.Fun,Modularity.Greedy.optimization.Fun,Total.nodes.Pro,Total.links.Pro,avgK.Pro,avgCC.Pro,GD.Pro,Density.Pro,Transitivity.Pro,Con.Pro,Module.number.Greedy.optimization.Pro,Modularity.Greedy.optimization.Pro
X12_24_N_N_0,951,1345,2.828601472,0.164288869,5.430851486,0.002977475,0.188179537,0.476697106,127,0.76629751,81,95,2.345679012,0.195065562,3.769913862,0.029320988,0.142241379,0.812345679,12,0.729188496,48,62,2.583333333,0.027192982,2.689827259,0.054964539,0.038709677,1,6,0.593109636
X12_3_N_N_1,1019,1175,2.306182532,0.115534437,7.83908204,0.002265405,0.310368195,0.467429257,144,0.883538589,103,153,2.970873786,0.080791272,2.951548406,0.029126214,0.046551724,0.886921759,12,0.604737056,92,169,3.673913043,0.039047619,2.146015271,0.040372671,0.021226415,0.914954611,10,0.468610671
X12_6_N_N_1,739,797,2.156968877,0.163756654,9.68944199,0.002922722,0.406949549,0.237913976,137,0.914073854,60,57,1.9,0.066071429,3.145624866,0.03220339,0.064516129,0.383615819,13,0.740670711,71,110,3.098591549,0.042246642,2.250118946,0.044265594,0.023255814,0.944466801,8,0.540201178
X12_8_N_N_0,1105,1424,2.577375566,0.125412238,5.655997794,0.002334579,0.174319189,0.521012853,136,0.80209296,62,63,2.032258065,0.135632184,2.326013982,0.033315706,0.152173913,0.301956637,15,0.719494065,80,120,3,0.024160562,2.179892181,0.037974684,0.025862069,0.745886076,10,0.539485155
X13_11_N_N_0,1270,1800,2.834645669,0.113359112,5.318252738,0.002233763,0.150269471,0.586299585,140,0.761200125,72,75,2.083333333,0.117973856,2.943840388,0.029342723,0.094736842,0.510954617,13,0.719801829,49,53,2.163265306,0.066666667,2.639697988,0.045068027,0.057142857,0.700680272,11,0.639160497
X13_13_N_N_0,1200,1602,2.67,0.116036817,5.636685433,0.002226856,0.160625715,0.5782402,137,0.788474729,79,74,1.873417722,0.075,3.050638425,0.024018176,0.051724138,0.282051282,14,0.80080915,61,78,2.557377049,0.023076923,2.363934573,0.042622951,0.027522936,0.727868852,10,0.602714508
X13_19_N_N_1,1024,1105,2.158203125,0.122580712,8.691729516,0.00210968,0.332902225,0.323048402,178,0.905077898,99,136,2.747474747,0.121108742,3.20393382,0.028035457,0.101204819,0.882498454,11,0.663423277,79,125,3.164556962,0.008373016,2.36588132,0.040571243,0.019313305,0.901330737,9,0.501577852
X13_23_N_N_1,1041,1166,2.240153698,0.118083569,8.034655933,0.002153994,0.310045772,0.432465085,159,0.893748977,61,60,1.967213115,0.246875,3.969193025,0.032786885,0.196261682,0.456830601,13,0.778039718,77,125,3.246753247,0.034351029,2.265963669,0.042720437,0.023762376,0.948735475,9,0.507740969
X13_24_N_N_0,1076,1423,2.644981413,0.128350492,5.456871351,0.002460448,0.163128817,0.56324544,126,0.785122465,79,74,1.873417722,0.187734488,2.267268235,0.024018176,0.157894737,0.180136319,19,0.778248853,69,117,3.391304348,0.021604938,1.858340192,0.049872123,0.016666667,0.664109122,9,0.472302678
X13_3_N_N_1,1090,1227,2.251376147,0.103756215,7.359082417,0.002067379,0.301623084,0.447982747,158,0.888942801,113,150,2.654867257,0.095753308,3.25615904,0.023704172,0.053784861,0.847345133,14,0.653585185,81,116,2.864197531,0.06122449,2.29978615,0.035802469,0.030379747,0.790740741,12,0.555192497
X13_6_N_N_1,753,770,2.045152722,0.171890969,8.725542769,0.002719618,0.425246827,0.126162019,163,0.921124602,101,147,2.910891089,0.131752692,2.827731103,0.029108911,0.094095941,0.726732673,14,0.626277346,71,115,3.23943662,0.02984793,2.117578655,0.046277666,0.033185841,0.838229376,10,0.501665875
X13_8_N_N_0,1065,1390,2.610328638,0.14370874,5.679528475,0.002453316,0.194038748,0.445638745,150,0.787154668,82,86,2.097560976,0.15282392,3.402021355,0.025895815,0.117318436,0.539596507,15,0.754645982,63,73,2.317460317,0.023015873,2.372513373,0.037378392,0.028708134,0.708141321,11,0.605319254
X14_11_N_N_0,720,948,2.633333333,0.186055611,5.141092131,0.003662494,0.232854209,0.303376603,121,0.791228603,53,44,1.660377358,0.217391304,1.742998293,0.031930334,0.18,0.104499274,14,0.850621968,39,43,2.205128205,0.03968254,2.660139599,0.05802969,0.034482759,0.71659919,8,0.613006442
X14_13_N_N_0,1044,1397,2.676245211,0.122690206,5.504240095,0.002565911,0.167433303,0.528107471,127,0.790869122,68,58,1.705882353,0.132142857,2.564129007,0.025460931,0.115384615,0.171641791,15,0.834317513,69,112,3.246376812,0,2.3497477,0.047740835,0,1,8,0.476609851
X14_19_N_N_1,882,964,2.185941043,0.12647738,7.087682333,0.002481204,0.277654517,0.338056373,138,0.896313648,88,109,2.477272727,0.191975309,3.645297903,0.028474399,0.167247387,0.785788924,14,0.70795103,86,151,3.511627907,0.064739905,2.143902844,0.041313269,0.039017341,0.909165527,8,0.451951268
X14_23_N_N_1,997,1099,2.204613842,0.132871109,7.714185615,0.002213468,0.32843019,0.36217085,169,0.891315547,85,112,2.635294118,0.125370804,3.201533051,0.031372549,0.111864407,0.842577031,10,0.673817518,65,81,2.492307692,0,2.394652555,0.038942308,0,0.691346154,10,0.58521713
X14_24_N_N_0,652,913,2.800613497,0.220473459,4.88405388,0.004302018,0.24144523,0.372678183,111,0.769275219,28,18,1.285714286,0,1.039454049,0.047619048,0,0.079365079,10,0.871508191,26,18,1.384615385,0,1.213810279,0.055384615,0,0.126153846,8,0.801203318
X14_3_N_N_1,869,966,2.223245109,0.134978754,7.237502571,0.002561342,0.348074922,0.347125516,150,0.88632798,88,97,2.204545455,0.124927114,4.012276609,0.025339603,0.081081081,0.826541275,13,0.732789625,72,83,2.305555556,0.049593496,2.580773635,0.032472613,0.045,0.627934272,14,0.649508572
X14_6_N_N_1,916,1032,2.253275109,0.133032974,7.03873716,0.002462596,0.288888889,0.390898895,153,0.875946535,68,71,2.088235294,0.075238095,3.417757672,0.031167691,0.064285714,0.526338894,12,0.736320648,55,67,2.436363636,0.064814815,2.289034919,0.045117845,0.035294118,0.732659933,9,0.594496716
X14_8_N_N_0,974,1313,2.696098563,0.15780085,5.437746087,0.002770913,0.197317179,0.432914566,145,0.769881219,45,37,1.644444444,0.152380952,1.597627832,0.037373737,0.136363636,0.157575758,13,0.766797851,74,133,3.594594595,0.024235487,2.136262573,0.049241022,0.013953488,0.946686412,8,0.48790756
