,X09_11_N_N_0,X09_13_N_N_0,X09_19_N_N_1,X09_23_N_N_1,X09_24_N_N_0,X09_3_N_N_1,X09_6_N_N_1,X09_8_N_N_0,X10_11_N_N_0,X10_13_N_N_0,X10_19_N_N_1,X10_23_N_N_1,X10_24_N_N_0,X10_3_N_N_1,X10_6_N_N_1,X10_8_N_N_0,X11_11_N_N_0,X11_13_N_N_0,X11_19_N_N_1,X11_23_N_N_1,X11_24_N_N_0,X11_3_N_N_1,X11_6_N_N_1,X11_8_N_N_0,X12_11_N_N_0,X12_13_N_N_0,X12_19_N_N_1,X12_23_N_N_1,X12_24_N_N_0,X12_3_N_N_1,X12_6_N_N_1,X12_8_N_N_0,X13_11_N_N_0,X13_13_N_N_0,X13_19_N_N_1,X13_23_N_N_1,X13_24_N_N_0,X13_3_N_N_1,X13_6_N_N_1,X13_8_N_N_0,X14_11_N_N_0,X14_13_N_N_0,X14_19_N_N_1,X14_23_N_N_1,X14_24_N_N_0,X14_3_N_N_1,X14_6_N_N_1,X14_8_N_N_0,Kingdom,Phylum,Class,Order,Family,Genus,Species
Zotu2783,3,1,0,2,0,0,5,0,0,1,1,6,4,6,1,1,4,2,1,11,1,0,0,4,1,0,1,4,6,0,1,1,4,2,0,0,1,0,0,0,1,2,2,2,0,0,3,2,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Steroidobacterales,D_4__Steroidobacteraceae,D_5__Steroidobacter,
Zotu8748,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,D_0__Bacteria,D_1__Gemmatimonadetes,D_2__BD2-11 terrestrial group,D_3__metagenome,D_4__,D_5__,D_6__
Zotu5594,1,2,1,2,2,3,0,1,2,1,1,1,0,2,3,5,1,1,1,0,2,4,0,3,0,2,0,0,1,2,0,2,0,0,1,14,1,1,0,1,0,6,1,1,0,0,0,0,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Streptomycetales,D_4__Streptomycetaceae,D_5__Streptomyces,
Zotu7229,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,3,0,0,0,0,1,0,0,0,2,0,0,0,1,0,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Paenibacillaceae,D_5__Paenibacillus,
Zotu2199,4,1,13,1,3,4,1,0,1,2,0,0,0,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,5,2,0,6,5,14,1,3,7,2,3,0,0,0,2,0,3,1,0,D_0__Bacteria,D_1__Chloroflexi,D_2__Anaerolineae,D_3__SBR1031,D_4__A4b,D_5__uncultured soil bacterium,D_6__
Zotu1317,1,3,0,1,8,2,2,2,0,1,5,2,3,3,1,3,6,16,1,2,7,4,5,10,2,14,0,4,11,1,19,0,6,0,2,1,0,2,0,0,0,0,6,0,0,0,0,0,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,Ambiguous_taxa
Zotu13229,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Acetobacterales,D_4__Acetobacteraceae,D_5__Acidicaldus,D_6__uncultured bacterium
Zotu13720,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rickettsiales,D_4__SM2D12,D_5__uncultured soil bacterium,D_6__
Zotu7112,0,0,1,0,1,1,0,0,1,4,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,2,0,0,0,0,0,2,2,2,1,1,2,1,0,1,0,0,1,0,0,0,0,0,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales,D_4__Nitrosomonadaceae,D_5__mle1-7,D_6__uncultured beta proteobacterium
Zotu5176,7,1,2,0,0,4,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,3,0,0,0,0,2,1,1,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Pedosphaerales,D_4__Pedosphaeraceae,,
Zotu402,5,6,2,7,0,2,7,1,18,3,7,184,5,7,15,9,20,0,0,2,0,8,1,0,17,0,0,2,3,2,0,3,4,8,16,10,1,4,3,9,25,2,0,7,11,8,23,20,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Chthoniobacterales,D_4__Chthoniobacteraceae,D_5__Candidatus Udaeobacter,
Zotu1892,2,0,1,3,8,4,5,4,7,0,2,5,12,3,0,0,4,1,3,2,4,1,2,2,0,1,0,0,0,2,2,0,0,1,5,2,4,2,0,0,0,0,1,1,0,0,1,0,D_0__Bacteria,D_1__Gemmatimonadetes,D_2__Gemmatimonadetes,D_3__Gemmatimonadales,D_4__Gemmatimonadaceae,D_5__uncultured,D_6__Gemmatimonadetes bacterium LX87
Zotu4182,3,2,2,2,1,0,2,1,3,2,3,0,3,1,1,2,0,0,0,0,0,0,1,0,4,0,1,1,1,2,0,0,0,0,4,2,1,1,0,1,0,3,0,1,0,1,5,1,D_0__Bacteria,D_1__Elusimicrobia,D_2__Lineage IIa,D_3__uncultured bacterium,D_4__,D_5__,D_6__
Zotu9401,2,1,2,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Sphingomonadales,D_4__Sphingomonadaceae,D_5__Sphingomonas,
Zotu16213,2,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,,,,
Zotu6004,3,1,2,3,2,0,1,2,0,0,1,0,4,0,2,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,3,0,1,0,0,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Opitutales,D_4__Opitutaceae,D_5__Lacunisphaera,
Zotu7211,3,0,1,0,0,1,0,1,1,0,1,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__KF-JG30-B3,D_5__metagenome,D_6__
Zotu3337,1,0,4,0,2,2,0,2,2,0,0,2,4,0,2,2,1,0,1,0,5,5,1,0,1,1,1,0,0,2,0,1,0,1,0,2,1,0,0,0,2,1,2,0,1,0,2,0,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Propionibacteriales,D_4__Nocardioidaceae,D_5__Marmoricola,
Zotu4944,2,1,0,0,3,0,1,0,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,0,6,0,0,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0,1,0,0,3,0,D_0__Bacteria,D_1__Gemmatimonadetes,D_2__Gemmatimonadetes,D_3__Gemmatimonadales,D_4__Gemmatimonadaceae,D_5__uncultured,D_6__uncultured Gemmatimonadetes bacterium
Zotu10744,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,1,0,3,D_0__Bacteria,D_1__Acidobacteria,D_2__Holophagae,D_3__Subgroup 7,D_4__uncultured Acidobacteriales bacterium,D_5__,D_6__
Zotu9344,1,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,1,2,3,0,0,2,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,D_0__Bacteria,,,,,,
Zotu4222,1,1,0,1,9,2,5,2,2,0,1,0,2,2,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,6,1,1,0,0,0,0,1,0,0,0,0,2,0,0,2,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Microscillaceae,D_5__Ohtaekwangia,
Zotu3566,2,1,0,0,1,2,2,0,1,0,1,4,0,1,4,0,0,0,0,0,0,0,0,0,2,0,6,0,0,3,0,1,1,3,0,2,2,1,0,1,0,0,0,1,13,2,0,1,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__Blastocatellales,D_4__Blastocatellaceae,D_5__JGI 0001001-H03,
Zotu11069,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,D_0__Bacteria,D_1__Actinobacteria,D_2__Thermoleophilia,D_3__Solirubrobacterales,D_4__Solirubrobacteraceae,D_5__Solirubrobacter,D_6__uncultured bacterium
Zotu3217,0,1,1,0,1,3,2,2,3,2,3,3,1,0,4,0,0,0,3,3,1,0,2,2,2,1,0,2,3,0,1,0,1,0,3,1,3,0,2,0,0,0,2,4,3,1,0,1,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Rhizobiales Incertae Sedis,D_5__Bauldia,
Zotu12691,1,1,1,0,0,0,1,1,0,0,1,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Chthoniobacterales,D_4__Chthoniobacteraceae,D_5__Chthoniobacter,
Zotu2769,4,5,3,3,3,4,4,1,3,1,0,2,2,0,0,1,2,3,1,1,3,2,0,1,3,2,0,1,1,1,1,1,0,1,12,1,0,2,1,1,0,4,1,0,0,0,0,0,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__DS-100,D_4__uncultured bacterium,D_5__,D_6__
Zotu8499,2,0,0,1,1,0,2,0,2,0,1,2,0,0,2,0,0,4,2,0,0,3,0,0,2,0,1,1,0,3,0,0,2,3,2,2,4,2,4,1,3,0,0,1,4,0,2,0,D_0__Bacteria,D_1__Omnitrophicaeota,D_2__Omnitrophia,D_3__Omnitrophales,D_4__Omnitrophaceae,D_5__Candidatus Omnitrophus,D_6__uncultured bacterium
Zotu6990,0,0,2,0,0,2,0,0,0,0,2,2,3,1,0,0,1,0,0,3,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,2,0,0,0,2,1,0,0,0,0,1,0,0,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Myxococcales,D_4__Archangiaceae,,
Zotu3466,2,1,1,5,2,3,1,2,1,1,0,0,1,1,2,2,0,0,2,4,1,4,0,1,0,0,3,5,1,3,7,2,0,1,2,2,4,1,7,4,2,1,0,0,1,5,0,4,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Bacillaceae,D_5__Bacillus,
Zotu12827,1,6,4,4,4,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__Ferruginibacter,
Zotu6682,1,0,0,1,2,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,3,1,0,1,1,0,2,1,0,0,1,0,D_0__Bacteria,D_1__Actinobacteria,D_2__Thermoleophilia,D_3__uncultured,D_4__uncultured bacterium,D_5__,D_6__
Zotu13530,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2,D_0__Bacteria,D_1__Actinobacteria,D_2__Thermoleophilia,D_3__Gaiellales,D_4__uncultured,,
Zotu13224,1,1,1,1,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,,,,
Zotu2391,3,3,8,8,8,0,4,4,2,0,0,0,6,4,1,0,2,1,5,5,1,3,3,6,1,3,0,0,0,3,1,1,2,5,2,2,4,0,0,0,0,9,3,3,0,1,4,0,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,,,,
Zotu2311,2,1,0,1,3,1,2,4,0,1,1,0,0,0,0,1,1,4,1,2,10,2,3,2,6,3,4,1,3,4,0,0,0,2,1,1,0,3,0,0,0,0,1,3,6,0,5,1,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Chthoniobacterales,D_4__Chthoniobacteraceae,D_5__Candidatus Udaeobacter,D_6__uncultured Verrucomicrobia bacterium
Zotu12958,0,1,1,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,2,1,1,0,0,D_0__Bacteria,D_1__Planctomycetes,D_2__BD7-11,D_3__uncultured bacterium,D_4__,D_5__,D_6__
Zotu12548,4,0,2,0,4,2,4,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Pedosphaerales,D_4__Pedosphaeraceae,,
Zotu3988,3,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,2,0,3,10,0,0,0,1,0,0,5,1,0,4,0,0,3,0,0,5,0,1,0,0,0,1,2,0,0,1,2,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Hyphomicrobiaceae,D_5__Hyphomicrobium,
Zotu9466,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,1,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__uncultured,D_5__uncultured bacterium,D_6__
Zotu3714,2,2,0,0,1,0,5,0,2,0,5,0,8,0,1,0,0,6,5,0,0,0,0,0,0,22,0,1,3,0,0,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Myxococcales,D_4__Sandaracinaceae,D_5__uncultured,D_6__metagenome
Zotu677,3,8,9,16,7,1,12,7,9,10,9,11,16,1,2,9,5,6,10,19,5,6,2,2,7,2,2,1,6,2,4,3,2,10,2,8,3,5,2,0,2,14,6,2,0,4,0,3,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales,D_4__Xanthobacteraceae,,
Zotu8928,0,0,1,0,0,1,1,0,0,1,1,2,0,1,3,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,1,0,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,D_3__Unknown Order,D_4__Unknown Family,D_5__Vicinamibacter,D_6__uncultured bacterium
Zotu5858,2,0,1,1,2,0,1,4,0,1,1,2,0,0,1,1,1,1,1,0,0,0,2,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Pedosphaerales,D_4__Pedosphaeraceae,,
Zotu15387,2,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Pedosphaerales,D_4__Pedosphaeraceae,D_5__uncultured subdivision 3 bacterium,D_6__
Zotu4614,2,3,4,2,2,1,0,2,0,1,0,2,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,7,2,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__uncultured,D_6__Spumella-like flagellate JBM08
Zotu7186,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,1,1,1,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,1,0,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Pedosphaerales,D_4__Pedosphaeraceae,D_5__uncultured bacterium,D_6__
Zotu3179,1,2,0,0,1,2,1,0,2,1,1,0,2,1,1,1,2,1,1,0,1,3,3,5,4,5,2,0,0,0,0,1,1,6,1,0,2,2,0,1,4,1,0,2,0,0,0,0,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Pedosphaerales,D_4__Pedosphaeraceae,D_5__uncultured Prosthecobacter sp.,D_6__
Zotu2534,6,5,5,3,3,0,2,1,5,1,2,1,1,2,0,4,3,5,4,5,0,1,0,3,0,5,0,0,3,1,0,0,0,5,3,1,2,4,0,0,0,1,0,0,1,0,0,0,D_0__Bacteria,D_1__Acidobacteria,D_2__Subgroup 6,D_3__Unknown Order,D_4__Unknown Family,D_5__Vicinamibacter,Ambiguous_taxa
Zotu6413,3,3,0,1,2,0,4,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,4,0,0,1,0,1,1,0,0,0,0,0,0,1,0,D_0__Bacteria,D_1__Chloroflexi,D_2__Anaerolineae,D_3__SBR1031,D_4__A4b,D_5__uncultured sludge bacterium S14,D_6__
Zotu7849,3,4,0,2,3,2,4,1,2,0,2,0,2,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,2,0,D_0__Bacteria,D_1__Chloroflexi,D_2__Anaerolineae,D_3__Caldilineales,D_4__Caldilineaceae,D_5__Litorilinea,
Zotu4294,1,3,1,4,3,0,2,2,6,1,0,0,6,1,0,1,2,1,0,4,0,3,0,1,0,0,0,0,1,1,1,2,1,0,4,0,4,0,0,0,0,5,0,0,0,1,1,0,D_0__Bacteria,D_1__Gemmatimonadetes,D_2__Gemmatimonadetes,D_3__Gemmatimonadales,D_4__Gemmatimonadaceae,D_5__Gemmatimonas,D_6__uncultured bacterium
Zotu470,3,11,9,14,6,6,6,7,14,10,5,15,9,14,1,9,25,16,4,27,11,12,6,29,6,16,3,26,20,1,7,11,9,4,4,7,13,9,12,13,0,3,11,5,4,1,1,3,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Asanoa,
Zotu1967,4,3,0,8,0,4,43,0,6,0,1,0,9,1,0,0,1,1,1,2,1,1,3,0,1,0,0,3,0,0,0,2,3,4,1,0,14,1,3,1,0,3,0,0,0,5,0,0,D_0__Bacteria,D_1__Acidobacteria,D_2__Thermoanaerobaculia,D_3__Thermoanaerobaculales,D_4__Thermoanaerobaculaceae,D_5__Subgroup 10,D_6__uncultured bacterium
Zotu11958,0,2,0,0,0,0,2,1,0,1,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__env.OPS 17,,
Zotu13226,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__Sediminibacterium,
Zotu12771,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Elsterales,D_4__uncultured,,
Zotu6507,1,0,1,6,2,0,0,1,0,2,1,0,0,0,3,2,2,0,4,2,5,4,2,2,1,1,0,0,1,2,1,0,0,3,0,2,0,1,0,0,0,0,0,1,1,4,0,1,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Myxococcales,D_4__Polyangiaceae,D_5__Minicystis,D_6__Minicystis rosea
Zotu5474,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,2,1,6,0,0,0,0,3,0,0,0,0,D_0__Bacteria,D_1__Acidobacteria,D_2__Acidobacteriia,D_3__Solibacterales,D_4__Solibacteraceae (Subgroup 3),D_5__Candidatus Solibacter,
Zotu10442,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__uncultured,
Zotu4635,2,0,4,2,1,1,0,2,0,1,0,0,4,0,1,2,0,0,0,2,0,0,1,1,1,2,0,0,0,0,2,0,0,0,0,0,5,1,0,0,1,1,0,0,0,1,2,0,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__Acidimicrobiales,D_4__Acidimicrobiaceae,D_5__uncultured,D_6__uncultured bacterium
Zotu2710,2,0,2,1,0,1,0,1,6,2,0,0,0,0,2,2,2,0,0,0,0,4,0,1,3,4,0,0,0,3,0,1,6,3,0,4,2,4,0,2,0,6,0,0,0,3,0,1,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__11-24,,,
Zotu1270,0,0,1,3,0,3,1,0,1,3,0,1,1,0,4,0,1,0,0,0,0,10,4,2,3,1,4,1,0,22,3,4,4,2,4,1,4,7,2,6,0,5,1,2,3,5,13,2,D_0__Bacteria,D_1__Actinobacteria,D_2__Thermoleophilia,D_3__Gaiellales,D_4__uncultured,D_5__bacterium Ellin6517,D_6__
Zotu1198,2,1,0,4,0,1,2,1,1,0,21,0,8,3,0,0,0,37,2,0,1,0,1,0,1,10,0,1,15,0,45,0,6,0,0,7,0,0,0,1,0,0,0,0,3,0,0,2,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Pseudonocardiales,D_4__Pseudonocardiaceae,D_5__Saccharothrix,Ambiguous_taxa
Zotu10253,1,1,0,1,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,3,D_0__Bacteria,D_1__Actinobacteria,D_2__Acidimicrobiia,D_3__IMCC26256,,,
Zotu5780,2,2,0,2,1,1,0,3,2,0,1,0,1,0,0,0,2,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,1,0,1,1,3,1,0,1,0,2,0,0,0,0,1,0,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__Pyrinomonadales,D_4__Pyrinomonadaceae,D_5__RB41,
Zotu12925,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Pedosphaerales,D_4__Pedosphaeraceae,D_5__ADurb.Bin063-1,
Zotu5388,2,3,1,0,0,0,1,0,4,0,4,1,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,7,0,0,1,0,2,2,0,1,0,1,3,0,0,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__AKYH767,,
Zotu5344,1,0,1,0,0,0,2,1,0,1,1,1,0,0,2,0,0,3,1,0,0,0,3,0,0,0,1,6,1,0,4,1,3,0,1,0,0,2,1,0,0,1,3,1,1,1,0,0,D_0__Bacteria,D_1__Proteobacteria,D_2__Deltaproteobacteria,D_3__Oligoflexales,D_4__0319-6G20,,
Zotu7455,2,0,3,2,0,0,2,2,6,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,0,1,0,0,0,0,0,0,D_0__Bacteria,D_1__Entotheonellaeota,D_2__Entotheonellia,D_3__Entotheonellales,D_4__Entotheonellaceae,D_5__uncultured bacterium,D_6__
Zotu906,2,1,3,3,3,11,2,6,3,3,11,0,1,0,1,4,8,8,1,2,21,8,12,4,9,4,3,1,0,12,4,2,10,2,5,7,6,7,5,5,4,1,4,5,0,5,7,4,D_0__Bacteria,D_1__Acidobacteria,D_2__Blastocatellia (Subgroup 4),D_3__11-24,,,
Zotu16555,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,D_0__Bacteria,D_1__Planctomycetes,D_2__Planctomycetacia,D_3__Pirellulales,D_4__Pirellulaceae,D_5__uncultured,D_6__uncultured sludge bacterium A40
Zotu6663,1,1,2,2,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,D_0__Bacteria,D_1__Verrucomicrobia,D_2__Verrucomicrobiae,D_3__Opitutales,D_4__Opitutaceae,D_5__Opitutus,
Zotu14212,1,1,1,0,1,0,2,1,0,0,0,1,0,0,0,1,2,3,0,2,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Competibacterales,D_4__Competibacteraceae,D_5__Plasticicumulans,Ambiguous_taxa
Zotu8563,2,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,3,1,1,1,1,0,0,0,1,2,0,0,0,0,1,1,1,0,3,0,0,0,0,1,2,0,0,1,0,0,1,0,D_0__Bacteria,D_1__Gemmatimonadetes,D_2__Gemmatimonadetes,D_3__Gemmatimonadales,D_4__Gemmatimonadaceae,D_5__Gemmatimonas,
