Gene,X09_11_N_N_0,X09_13_N_N_0,X09_19_N_N_1,X09_23_N_N_1,X09_24_N_N_0,X09_3_N_N_1,X09_6_N_N_1,X09_8_N_N_0,X10_11_N_N_0,X10_13_N_N_0,X10_19_N_N_1,X10_23_N_N_1,X10_24_N_N_0,X10_3_N_N_1,X10_6_N_N_1,X10_8_N_N_0,X11_11_N_N_0,X11_13_N_N_0,X11_19_N_N_1,X11_23_N_N_1,X11_24_N_N_0,X11_3_N_N_1,X11_6_N_N_1,X11_8_N_N_0,X12_11_N_N_0,X12_13_N_N_0,X12_19_N_N_1,X12_23_N_N_1,X12_24_N_N_0,X12_3_N_N_1,X12_6_N_N_1,X12_8_N_N_0,X13_11_N_N_0,X13_13_N_N_0,X13_19_N_N_1,X13_23_N_N_1,X13_24_N_N_0,X13_3_N_N_1,X13_6_N_N_1,X13_8_N_N_0,X14_11_N_N_0,X14_13_N_N_0,X14_19_N_N_1,X14_23_N_N_1,X14_24_N_N_0,X14_3_N_N_1,X14_6_N_N_1,X14_8_N_N_0
Csm6,4445.373,4428.9629,4743.5727,4282.2514,4407.28,4777.042,4245.6665,5088.413,4194.489,3899.3455,4400.3238,4620.4577,3488.0234,4064.1602,4173.7984,4368.277,3651.794,3728.2041,3807.676,3341.5656,3997.0143,3901.3132,3693.9531,4202.0276,4051.017,3785.8928,4043.6658,3703.2392,4427.978,4837.807,4136.7637,3859.512,4378.067,4253.687,4909.839,4226.921,3981.868,4536.374,4720.7539,2069.8461,4811.677,3789.485,4105.82,4768.465,4605.718,5302.549,4589.9801,4243.747
CsoS1_CcmK,41819.962,42545.8077,44443.3998,42907.7147,44767.0948,48103.436,46010.278,44563.7384,44824.656,44173.9549,40975.284,41342.4976,40570.189,44085.13,43897.439,44654.087,41069.122,49999.728,40768.02,44512.6562,41321.1284,43563.1293,41229.9665,40696.9003,49223.1201,43129.8993,45149.639,50360.7008,43020.7793,45724.1151,43986.5232,43356.7519,42363.7808,44592.8611,41019.1121,38846.4209,41219.012,42481.0387,39808.0406,42717.3177,43570.4604,42274.8303,42423.7373,42164.9664,36611.8041,47530.8262,44841.6561,43806.6325
CsoS2,3414.667,3790.093,4130.4392,3947.079,3079.484,3482.072,3702.6565,3550.7,3625.656,3817.2533,3161.616,3688.9455,3628.1881,3646.9368,4262.9207,4484.034,3730.203,3918.558,3803.226,4171.5471,3904.823,5304.0778,3526.532,3999.751,4203.3618,4152.7067,4404.8384,4488.1979,4255.261,5372.708,4808.9998,5253.7088,4714.7416,4087.1876,3358.777,4082.495,4971.4714,4528.4561,4229.9369,4560.0456,4686.2479,4357.5672,5201.8529,4353.785,4442.476,4446.743,4523.2308,5041.8457
CspG,2861.619,3005.693,2716.245,2831.348,2971.139,2842.458,2555.593,3225.572,3544.315,2598.904,2457.283,2584.813,2946.851,2449.242,2430.843,3247.553,2827.083,3153.768,3027.249,3225.113,2917.956,3245.184,2518.76,2876.934,2646.511,3327.282,2800.361,3076.607,3288.692,3423.551,2971.857,3340.034,3333.227,3085.837,2928.386,3035.366,3063.904,2875.942,2888.379,2725.737,3309.655,2946.924,3208.803,3151.126,2987.851,3301.42,3119.898,3703.824
Csx1,1244.718,1424.506,0,1342.418,1634.798,1418.303,1083.224,1570.528,1265.88,1314.242,1231.794,1403.112,1351.045,1096.116,1204.016,1733.394,992.7566,1578.202,1627.21,1391.552,1581.972,1504.456,1183.308,1341.238,1278.044,1623.993,1321.952,1543.416,1553.495,1881.749,1538.852,1677.88,1453.569,1237.563,1085.408,1130.111,3206.084,1376.44,1167.711,1567.34,1461.984,1445.791,1488.272,1612.288,1602.551,1474.716,1548.386,1537.35
Csx10,2182.5,1834.937,2183.103,2407.509,2230.762,2355.304,2234.935,1968.774,1678.447,2227.308,1778.744,1834.814,2085.264,2302.809,1928.826,2056.691,1542.262,1943.813,2015.368,2169.464,1831.026,1888.786,1592.478,1477.373,1721.123,1662.796,1660.21,1745.167,1465.386,1174.784,1573.822,1614.339,1554.606,2244.411,2298.225,2171.222,1443.363,2256.98,1950.633,1920.496,1562.929,1431.902,1332.318,1710.631,1362.549,1816.116,1713.433,1637.368
Csx15,1826.647,2254.076,2341.821,2350.027,1921.44,1835.145,2185.234,1761.249,1157.047,2570.393,2181.162,2026.021,2054.932,2245.369,2215.402,1802.61,1588.739,1526.962,1796.932,1865.089,1605.407,1424.026,1824.156,1480.512,1790.214,1265.206,1998.138,1659.222,1416.216,870.9522,1728.753,1535.298,1162.093,2113.776,1919.922,2119.6,1277.786,2016.496,2754.775,1656.516,1401.914,1484.843,1364.066,1617.414,1533.032,1727.551,1916.49,1676.185
Csx16,1036.862,834.3264,971.1753,898.8585,857.6773,0,750.9883,1165.279,0,1172.095,885.9271,1140.39,879.3615,699.9686,991.8382,1199.645,0,1031.286,990.2364,904.4633,1129.692,1054.865,0,935.0763,1172.681,950.7221,924.0365,1000.987,1044.626,977.4538,854.385,1065.326,1116.164,1368.198,671.6013,671.7035,1172.864,862.3668,630.1681,1070.338,1096.468,1087.824,946.4172,1209.036,1245.798,1150.042,944.0498,1642.049
Csy2,1252.58,1248.204,1448.218,1541.633,1728.564,1611.059,1611.7,1368.139,1053.32,1093.165,1163.852,1252.291,1183.359,1415.235,1625.179,1589.12,1120.701,1062.424,1211.079,1250.57,1556.05,1429.823,1005.478,1074.004,1218.95,1307.645,1626.904,1927.212,1308.556,1523.199,2128.588,1418.949,1003.278,1258.326,1683.149,1340.672,1534.019,1755.537,1374.497,1556.901,1279.331,1217.532,821.7799,1238.418,1305.839,1312.799,1359.095,1435.287
CtsR,1703.437,1706.615,1609.202,1560.004,1792.469,1859.22,1677.094,1910.535,2216.118,1893.859,1916.987,1698.862,2154.493,1827.313,1831.387,1837.131,1962.121,2094.235,2246.159,1974.367,2014.415,1945.121,2022.298,2144.237,1661.415,2403.434,1861.53,2245.757,2317.445,1714.525,2332.739,1458.992,1662.331,1479.196,1427.622,1520.93,1798.633,1513.086,1270.791,1863.704,1935.738,1960.864,2017.857,2013.366,2219.141,1923.206,1732.94,2533.763
